number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
123,0.9792833333333333,0.19148617308083643,0.6074466914725783,logloss,0.0065187116439304445,0.07994412370555869,5,5,0.6114643063942745,gpu_hist,COMPLETE
124,0.9802833333333333,0.12226575503583438,0.6479397288839797,logloss,0.009436430206240345,0.07697993052763949,5,1,0.6072018133907013,gpu_hist,COMPLETE
125,0.9803833333333334,0.13351822451000966,0.6332914617580292,logloss,0.014068882892683649,0.0768966701946237,5,1,0.6151633215706956,gpu_hist,COMPLETE
126,0.9785333333333334,0.13070101520249405,0.6353011326835142,logloss,0.0122460070869368,0.09446682795640955,5,13,0.6147147942099626,gpu_hist,COMPLETE
127,0.9775,0.08171048100674139,0.6140365378825126,logloss,0.0088656276550968,0.07565267881364046,5,27,0.5792868580998927,gpu_hist,COMPLETE
128,0.9799333333333333,0.19505029669692509,0.6451158076697185,logloss,0.014909155704643668,0.06676840413012193,5,1,0.6044418269340047,gpu_hist,COMPLETE
129,0.9785833333333334,0.11570932479723793,0.6435219299326631,logloss,0.02116501214730193,0.08581690551159847,5,20,0.6064677085831318,gpu_hist,COMPLETE
130,0.97815,0.20343515792195457,0.6591436069929888,logloss,0.006185994743537038,0.07208613055646525,5,11,0.5871846924452496,gpu_hist,COMPLETE
131,0.9791,0.1316711790357991,0.6078905593618866,logloss,0.0072359497440613535,0.06673170002103888,5,5,0.6456306448086027,gpu_hist,COMPLETE
132,0.9801,0.14089915484385868,0.6061562374570937,logloss,0.013795174506588865,0.09871737409200805,5,1,0.6220723247010146,gpu_hist,COMPLETE
133,0.9800333333333333,0.1457899455669234,0.6294926977846267,logloss,0.015178565285931237,0.09823050517636174,5,1,0.561683560227881,gpu_hist,COMPLETE
134,0.9800833333333333,0.14510108910413358,0.6118040094008642,logloss,0.014809285679031255,0.09937179293518603,5,1,0.5603245018676376,gpu_hist,COMPLETE
135,0.9788166666666667,0.14192079911191466,0.6308578993839069,logloss,0.015554087267716128,0.09913532043308683,5,6,0.5570354405324266,gpu_hist,COMPLETE
136,0.9799,0.2532241777675309,0.6102806712773341,logloss,0.019256312277081127,0.09000930765454948,5,1,0.6217967797610898,gpu_hist,COMPLETE
137,0.98,0.19591639886618448,0.6104522604248162,logloss,0.020767106140400917,0.09163108079893736,5,1,0.6251746769967113,gpu_hist,COMPLETE
138,0.9804166666666667,0.25207886778046695,0.6514408231086051,logloss,0.020321647655656798,0.09236974463920783,5,1,0.6216722180179395,gpu_hist,COMPLETE
139,0.98025,0.19755536931257203,0.6720759145974388,logloss,0.021233206242055516,0.09828392960908527,5,1,0.6109114140331432,gpu_hist,COMPLETE
140,0.9800333333333333,0.15488730325365965,0.6782086076729789,logloss,0.021096434836361633,0.0915225189419305,5,1,0.5915069824349488,gpu_hist,COMPLETE
141,0.9796333333333334,0.15022206467445545,0.6758387207069949,logloss,0.04386617746516217,0.09104338439892844,5,1,0.5948996071262316,gpu_hist,COMPLETE
142,0.9798,0.15302425821222382,0.6759300589038557,logloss,0.04228095716894335,0.0922173895906771,5,2,0.5939281661136561,gpu_hist,COMPLETE
143,0.9798833333333333,0.24778785659116956,0.6494132777994518,logloss,0.021852184559125007,0.0989167391205349,5,1,0.587569699144339,gpu_hist,COMPLETE
144,0.9785166666666667,0.2358390995839974,0.6483437933247816,logloss,0.019030821926552206,0.09513655735765451,5,13,0.5835333151651333,gpu_hist,COMPLETE
145,0.9699833333333333,0.07367497112539141,0.6260898382691391,logloss,0.02409525367067991,0.09962553225761764,5,292,0.542843861931706,gpu_hist,COMPLETE
146,0.98035,0.0993068047562771,0.6479787663929891,logloss,0.01522342321620031,0.08760591362779363,5,1,0.5561388975344618,gpu_hist,COMPLETE
147,0.9788,0.09682834185515667,0.6646903382574256,logloss,0.036821915863571295,0.08533706501930191,5,10,0.5645832402599699,gpu_hist,COMPLETE
148,0.9781,0.20050291461890998,0.6856653717349936,logloss,0.012783057290088882,0.08834078622940598,5,22,0.6600975390906476,gpu_hist,COMPLETE
149,0.9803333333333333,0.11306640073687389,0.6305523098293588,logloss,0.014677708433441138,0.08885654188786471,5,1,0.6081662231360742,gpu_hist,COMPLETE
